組別,分數區間,人數,,
01,298.5,0,,
01,295.5,0,,
01,292.5,0,,
01,289.5,0,,
01,286.5,0,,
01,283.5,2,,
01,280.5,2,,
01,277.5,10,,
01,274.5,14,,
01,271.5,21,,
01,268.5,36,,
01,265.5,56,,
01,262.5,89,,
01,259.5,112,,
01,256.5,134,,
01,253.5,155,,
01,250.5,198,,
01,247.5,228,,
01,244.5,241,,
01,241.5,288,,
01,238.5,312,,
01,235.5,356,,
01,232.5,351,,
01,229.5,384,,
01,226.5,397,,
01,223.5,429,,
01,220.5,407,,
01,217.5,413,,
01,214.5,442,,
01,211.5,465,,
01,208.5,463,,
01,205.5,444,,
01,202.5,445,,
01,199.5,472,,
01,196.5,481,,
01,193.5,456,,
01,190.5,457,,
01,187.5,487,,
01,184.5,442,,
01,181.5,476,,
01,178.5,515,,
01,175.5,471,,
01,172.5,488,,
01,169.5,464,,
01,166.5,467,,
01,163.5,538,,
01,160.5,468,,
01,157.5,472,,
01,154.5,497,,
01,151.5,509,,
01,148.5,558,,
01,145.5,527,,
01,142.5,528,,
01,139.5,551,,
01,136.5,515,,
01,133.5,516,,
01,130.5,476,,
01,127.5,493,,
01,124.5,523,,
01,121.5,481,,
01,118.5,445,,
01,115.5,416,,
01,112.5,400,,
01,109.5,389,,
01,106.5,391,,
01,103.5,294,,
01,100.5,293,,
01,97.5,301,,
01,94.5,237,,
01,91.5,239,,
01,88.5,216,,
01,85.5,214,,
01,82.5,165,,
01,79.5,161,,
01,76.5,147,,
01,73.5,115,,
01,70.5,107,,
01,67.5,82,,
01,64.5,85,,
01,61.5,63,,
01,58.5,56,,
01,55.5,43,,
01,52.5,29,,
01,49.5,20,,
01,46.5,25,,
01,43.5,15,,
01,40.5,7,,
01,37.5,13,,
01,34.5,8,,
01,31.5,8,,
01,28.5,8,,
01,25.5,7,,
01,22.5,9,,
01,19.5,8,,
01,16.5,13,,
01,13.5,5,,
01,10.5,8,,
01,7.5,4,,
01,4.5,6,,
01,1.5,982,,
02,298.5,0,,
02,295.5,0,,
02,292.5,6,,
02,289.5,11,,
02,286.5,26,,
02,283.5,31,,
02,280.5,52,,
02,277.5,55,,
02,274.5,88,,
02,271.5,67,,
02,268.5,93,,
02,265.5,111,,
02,262.5,168,,
02,259.5,137,,
02,256.5,156,,
02,253.5,143,,
02,250.5,187,,
02,247.5,190,,
02,244.5,213,,
02,241.5,226,,
02,238.5,233,,
02,235.5,206,,
02,232.5,255,,
02,229.5,219,,
02,226.5,247,,
02,223.5,256,,
02,220.5,268,,
02,217.5,259,,
02,214.5,241,,
02,211.5,264,,
02,208.5,299,,
02,205.5,264,,
02,202.5,293,,
02,199.5,306,,
02,196.5,300,,
02,193.5,296,,
02,190.5,286,,
02,187.5,316,,
02,184.5,297,,
02,181.5,268,,
02,178.5,289,,
02,175.5,317,,
02,172.5,305,,
02,169.5,330,,
02,166.5,301,,
02,163.5,275,,
02,160.5,324,,
02,157.5,317,,
02,154.5,293,,
02,151.5,295,,
02,148.5,278,,
02,145.5,269,,
02,142.5,308,,
02,139.5,338,,
02,136.5,296,,
02,133.5,278,,
02,130.5,261,,
02,127.5,274,,
02,124.5,276,,
02,121.5,266,,
02,118.5,284,,
02,115.5,252,,
02,112.5,274,,
02,109.5,297,,
02,106.5,280,,
02,103.5,267,,
02,100.5,258,,
02,97.5,313,,
02,94.5,273,,
02,91.5,276,,
02,88.5,265,,
02,85.5,263,,
02,82.5,269,,
02,79.5,259,,
02,76.5,253,,
02,73.5,261,,
02,70.5,212,,
02,67.5,235,,
02,64.5,218,,
02,61.5,193,,
02,58.5,200,,
02,55.5,183,,
02,52.5,157,,
02,49.5,137,,
02,46.5,133,,
02,43.5,103,,
02,40.5,84,,
02,37.5,66,,
02,34.5,47,,
02,31.5,32,,
02,28.5,29,,
02,25.5,21,,
02,22.5,9,,
02,19.5,11,,
02,16.5,5,,
02,13.5,3,,
02,10.5,4,,
02,7.5,2,,
02,4.5,1,,
02,1.5,849,,
03,298.5,0,,
03,295.5,0,,
03,292.5,0,,
03,289.5,2,,
03,286.5,5,,
03,283.5,1,,
03,280.5,10,,
03,277.5,13,,
03,274.5,28,,
03,271.5,40,,
03,268.5,58,,
03,265.5,63,,
03,262.5,93,,
03,259.5,94,,
03,256.5,136,,
03,253.5,145,,
03,250.5,151,,
03,247.5,186,,
03,244.5,174,,
03,241.5,200,,
03,238.5,205,,
03,235.5,203,,
03,232.5,195,,
03,229.5,213,,
03,226.5,218,,
03,223.5,200,,
03,220.5,208,,
03,217.5,208,,
03,214.5,245,,
03,211.5,194,,
03,208.5,190,,
03,205.5,207,,
03,202.5,200,,
03,199.5,182,,
03,196.5,227,,
03,193.5,226,,
03,190.5,196,,
03,187.5,219,,
03,184.5,220,,
03,181.5,212,,
03,178.5,245,,
03,175.5,233,,
03,172.5,210,,
03,169.5,218,,
03,166.5,201,,
03,163.5,186,,
03,160.5,214,,
03,157.5,207,,
03,154.5,221,,
03,151.5,200,,
03,148.5,217,,
03,145.5,213,,
03,142.5,221,,
03,139.5,183,,
03,136.5,243,,
03,133.5,196,,
03,130.5,177,,
03,127.5,206,,
03,124.5,183,,
03,121.5,192,,
03,118.5,217,,
03,115.5,212,,
03,112.5,200,,
03,109.5,195,,
03,106.5,195,,
03,103.5,153,,
03,100.5,160,,
03,97.5,216,,
03,94.5,184,,
03,91.5,198,,
03,88.5,179,,
03,85.5,167,,
03,82.5,189,,
03,79.5,160,,
03,76.5,171,,
03,73.5,165,,
03,70.5,160,,
03,67.5,131,,
03,64.5,135,,
03,61.5,129,,
03,58.5,117,,
03,55.5,113,,
03,52.5,80,,
03,49.5,75,,
03,46.5,57,,
03,43.5,38,,
03,40.5,28,,
03,37.5,19,,
03,34.5,11,,
03,31.5,13,,
03,28.5,11,,
03,25.5,5,,
03,22.5,5,,
03,19.5,13,,
03,16.5,8,,
03,13.5,4,,
03,10.5,3,,
03,7.5,3,,
03,4.5,2,,
03,1.5,645,,
04,298.5,0,,
04,295.5,0,,
04,292.5,0,,
04,289.5,0,,
04,286.5,0,,
04,283.5,2,,
04,280.5,2,,
04,277.5,14,,
04,274.5,19,,
04,271.5,30,,
04,268.5,33,,
04,265.5,57,,
04,262.5,64,,
04,259.5,92,,
04,256.5,111,,
04,253.5,116,,
04,250.5,139,,
04,247.5,152,,
04,244.5,166,,
04,241.5,183,,
04,238.5,224,,
04,235.5,208,,
04,232.5,213,,
04,229.5,207,,
04,226.5,194,,
04,223.5,190,,
04,220.5,213,,
04,217.5,180,,
04,214.5,201,,
04,211.5,195,,
04,208.5,181,,
04,205.5,201,,
04,202.5,165,,
04,199.5,172,,
04,196.5,190,,
04,193.5,174,,
04,190.5,180,,
04,187.5,211,,
04,184.5,208,,
04,181.5,201,,
04,178.5,198,,
04,175.5,200,,
04,172.5,209,,
04,169.5,168,,
04,166.5,207,,
04,163.5,210,,
04,160.5,194,,
04,157.5,201,,
04,154.5,192,,
04,151.5,201,,
04,148.5,175,,
04,145.5,185,,
04,142.5,169,,
04,139.5,201,,
04,136.5,200,,
04,133.5,178,,
04,130.5,173,,
04,127.5,172,,
04,124.5,149,,
04,121.5,179,,
04,118.5,161,,
04,115.5,168,,
04,112.5,150,,
04,109.5,159,,
04,106.5,173,,
04,103.5,175,,
04,100.5,163,,
04,97.5,158,,
04,94.5,130,,
04,91.5,153,,
04,88.5,148,,
04,85.5,171,,
04,82.5,158,,
04,79.5,135,,
04,76.5,121,,
04,73.5,120,,
04,70.5,94,,
04,67.5,116,,
04,64.5,87,,
04,61.5,93,,
04,58.5,76,,
04,55.5,74,,
04,52.5,55,,
04,49.5,49,,
04,46.5,40,,
04,43.5,30,,
04,40.5,21,,
04,37.5,22,,
04,34.5,10,,
04,31.5,6,,
04,28.5,10,,
04,25.5,3,,
04,22.5,7,,
