國,英,數甲,數乙,歷,地,公,物,化,生
3,0,2,434,0,0,2,1,13,0
0,0,0,0,0,0,1,4,6,0
9,0,5,33,0,1,0,5,13,0
0,6,0,3,1,2,6,12,27,1
33,13,10,569,2,10,5,13,48,4
42,20,0,36,1,4,17,21,65,10
85,61,20,158,3,22,46,19,75,10
126,87,3,484,8,17,22,44,103,31
225,125,17,318,2,35,58,43,115,31
404,180,11,91,8,31,74,49,148,71
384,231,31,455,11,89,120,59,153,113
651,333,19,263,27,47,107,57,171,141
760,370,52,392,25,115,214,76,181,157
797,472,14,372,50,62,144,93,202,202
1128,519,63,243,46,217,286,115,218,230
915,599,43,535,69,97,221,128,228,247
1509,604,77,382,89,286,402,148,233,251
984,651,50,227,119,127,289,156,247,275
1791,618,84,583,127,346,447,152,283,307
1058,691,61,345,141,130,317,170,270,283
1913,706,97,362,169,449,529,182,291,307
1011,693,97,615,204,144,399,185,315,307
1875,713,139,266,251,510,595,205,333,276
1117,685,94,487,264,168,412,232,315,246
1808,726,172,575,333,596,630,234,307,272
1050,762,122,269,366,168,416,257,296,305
1759,768,160,542,393,624,688,245,313,262
1056,695,177,450,441,157,446,249,344,291
1641,674,209,309,429,691,639,265,296,247
1027,727,166,554,471,149,413,281,338,280
1530,735,250,335,529,741,695,324,344,241
937,643,200,419,554,128,463,299,365,265
1303,634,238,568,565,808,691,304,364,255
873,637,268,269,640,126,441,287,327,258
1272,680,289,504,630,812,697,299,346,234
811,577,232,491,626,111,382,317,355,221
1127,596,369,274,649,837,627,334,329,227
774,634,248,491,676,110,442,337,341,225
1017,596,351,312,642,852,637,296,334,253
636,623,303,378,705,108,408,333,354,246
968,585,397,485,677,877,593,287,314,239
555,556,290,304,670,71,367,334,328,236
893,571,432,409,650,854,564,315,322,226
577,581,266,403,692,76,390,337,311,243
728,540,449,298,640,870,538,331,318,247
488,579,345,485,673,65,358,336,320,230
694,543,445,325,643,797,491,356,330,220
446,592,416,381,682,61,326,322,317,230
537,552,477,459,556,870,448,301,300,203
351,512,319,304,609,61,258,307,291,224
487,532,541,393,568,863,393,305,315,227
296,539,307,406,525,34,259,303,288,254
389,497,534,294,500,808,359,344,296,226
247,529,353,445,499,35,201,331,314,215
339,565,422,342,436,785,267,360,291,224
186,531,371,323,421,25,192,342,305,219
281,513,506,411,440,781,246,357,311,203
168,546,296,270,390,20,151,337,302,183
240,519,538,410,323,722,218,376,303,173
118,535,325,375,327,20,143,355,287,178
209,503,516,303,335,657,176,384,295,209
94,533,370,460,264,10,114,337,305,172
166,538,430,365,288,611,138,406,285,177
110,523,332,370,256,5,88,412,279,170
110,531,508,435,213,609,112,398,300,170
77,535,241,218,197,11,61,365,244,169
96,581,493,400,188,496,72,420,290,170
69,554,338,322,163,3,50,437,291,161
86,541,396,298,128,482,54,384,274,164
44,595,348,443,131,1,40,370,273,154
71,576,410,400,142,355,44,339,294,134
33,625,242,214,106,0,25,337,284,145
38,630,437,482,104,324,45,348,254,131
29,644,259,184,104,0,21,323,273,120
45,655,404,394,76,262,29,301,243,86
22,646,289,391,81,1,20,265,224,102
26,619,349,290,67,209,23,258,245,113
18,694,294,380,70,0,17,227,241,86
14,662,342,399,51,183,16,235,209,79
11,621,235,199,42,0,9,183,195,60
11,599,387,471,37,138,11,151,207,62
10,643,194,203,27,0,6,128,156,38
5,639,352,342,21,94,4,92,153,51
5,574,261,365,21,0,4,86,150,32
3,521,260,234,10,70,2,80,139,33
3,452,298,357,4,0,1,43,111,21
3,376,294,388,5,36,1,30,76,18
0,319,162,74,3,0,1,28,86,10
1,236,294,400,3,13,1,23,50,12
2,197,144,236,1,0,0,17,55,3
2,137,159,225,3,12,0,10,50,2
2,89,240,352,0,0,0,4,26,3
0,54,115,179,0,1,0,2,21,2
0,33,130,111,1,0,0,4,16,0
0,21,163,214,0,2,0,0,0,0
0,6,18,12,0,0,0,0,2,0
0,3,88,178,0,1,0,0,2,1
0,0,88,151,0,0,0,7,1,0
0,1,8,0,0,0,0,0,0,1
0,1,84,116,0,0,0,0,0,0
5,2,41,58,0,1,1,0,2,1
