組別,分數區間,人數
1,298.5,0
1,295.5,0
1,292.5,0
1,289.5,0
1,286.5,0
1,283.5,0
1,280.5,2
1,277.5,10
1,274.5,8
1,271.5,19
1,268.5,22
1,265.5,44
1,262.5,56
1,259.5,63
1,256.5,93
1,253.5,127
1,250.5,132
1,247.5,159
1,244.5,180
1,241.5,243
1,238.5,228
1,235.5,264
1,232.5,300
1,229.5,288
1,226.5,323
1,223.5,340
1,220.5,364
1,217.5,367
1,214.5,344
1,211.5,386
1,208.5,392
1,205.5,405
1,202.5,431
1,199.5,425
1,196.5,395
1,193.5,405
1,190.5,484
1,187.5,446
1,184.5,479
1,181.5,413
1,178.5,452
1,175.5,448
1,172.5,472
1,169.5,437
1,166.5,439
1,163.5,445
1,160.5,457
1,157.5,450
1,154.5,421
1,151.5,454
1,148.5,457
1,145.5,464
1,142.5,517
1,139.5,459
1,136.5,444
1,133.5,441
1,130.5,420
1,127.5,451
1,124.5,436
1,121.5,418
1,118.5,415
1,115.5,398
1,112.5,382
1,109.5,310
1,106.5,344
1,103.5,328
1,100.5,324
1,97.5,259
1,94.5,267
1,91.5,207
1,88.5,231
1,85.5,218
1,82.5,182
1,79.5,168
1,76.5,147
1,73.5,133
1,70.5,122
1,67.5,112
1,64.5,105
1,61.5,93
1,58.5,64
1,55.5,72
1,52.5,52
1,49.5,33
1,46.5,33
1,43.5,22
1,40.5,16
1,37.5,17
1,34.5,9
1,31.5,6
1,28.5,9
1,25.5,9
1,22.5,13
1,19.5,10
1,16.5,15
1,13.5,11
1,10.5,5
1,7.5,15
1,4.5,8
1,1.5,936
2,298.5,0
2,295.5,0
2,292.5,0
2,289.5,1
2,286.5,3
2,283.5,6
2,280.5,13
2,277.5,16
2,274.5,20
2,271.5,25
2,268.5,37
2,265.5,69
2,262.5,66
2,259.5,80
2,256.5,89
2,253.5,103
2,250.5,121
2,247.5,132
2,244.5,172
2,241.5,180
2,238.5,152
2,235.5,210
2,232.5,214
2,229.5,232
2,226.5,221
2,223.5,237
2,220.5,264
2,217.5,271
2,214.5,308
2,211.5,295
2,208.5,281
2,205.5,298
2,202.5,323
2,199.5,306
2,196.5,337
2,193.5,318
2,190.5,338
2,187.5,396
2,184.5,341
2,181.5,358
2,178.5,326
2,175.5,351
2,172.5,350
2,169.5,366
2,166.5,373
2,163.5,358
2,160.5,381
2,157.5,337
2,154.5,379
2,151.5,371
2,148.5,327
2,145.5,368
2,142.5,375
2,139.5,323
2,136.5,371
2,133.5,355
2,130.5,359
2,127.5,313
2,124.5,336
2,121.5,287
2,118.5,335
2,115.5,336
2,112.5,331
2,109.5,336
2,106.5,328
2,103.5,343
2,100.5,333
2,97.5,318
2,94.5,330
2,91.5,277
2,88.5,293
2,85.5,281
2,82.5,257
2,79.5,261
2,76.5,273
2,73.5,267
2,70.5,258
2,67.5,225
2,64.5,178
2,61.5,203
2,58.5,165
2,55.5,162
2,52.5,139
2,49.5,114
2,46.5,85
2,43.5,84
2,40.5,47
2,37.5,37
2,34.5,22
2,31.5,23
2,28.5,12
