校系.代碼,校名,系組名,國文,英文,數學甲,數學乙,歷史,地理,公民與社會,物理,化學,生物,錄取名額..含外加.,普通生錄取分數
1,國立臺灣大學,中國文學系,1.5,1.25,0,1,1.25,1,0,0,0,0,32,493.4
2,國立臺灣大學,外國語文學系,1.25,2,0,1,1.25,1,1,0,0,0,62,641.9
3,國立臺灣大學,歷史學系,1,1,0,1,1,1,1,0,0,0,23,503
4,國立臺灣大學,哲學系,1,1,0,1,1,0,1,0,0,0,17,423
5,國立臺灣大學,人類學系,1,1.25,0,1,1,1,1,0,0,0,23,520.45
6,國立臺灣大學,圖書資訊學系,1.25,1.25,0,1,1,1,1,0,0,0,23,544
7,國立臺灣大學,日本語文學系,1.5,1.5,0,1,1,1,0,0,0,0,34,496.45
10,國立臺灣大學,戲劇學系(男),1.5,1.5,0,1,1,1,0,0,0,0,10,487.6
11,國立臺灣大學,戲劇學系(女),1.5,1.5,0,1,1,1,0,0,0,0,14,490.95
12,國立臺灣大學,數學系,1,1,1.5,0,0,0,0,1,1,0,23,432.5
13,國立臺灣大學,物理學系,1,1,1,0,0,0,0,1,1,0,20,412.6
14,國立臺灣大學,化學系,1,1,1,0,0,0,0,1,1,0,19,404.1
15,國立臺灣大學,地質科學系,1,1,1,0,0,0,0,1,1,0,15,385.2
16,國立臺灣大學,心理學系,1,1,1,0,0,0,0,1,1,1,42,469.7
17,國立臺灣大學,地理環境資源學系A組,1,1,1,0,0,0,0,1,1,0,13,383.1
20,國立臺灣大學,地理環境資源學系B組,1,1,0,1,1,1,0,0,0,0,9,419.4
21,國立臺灣大學,大氣科學系,1,1,1,0,0,0,0,1,1,0,20,389.6
22,國立臺灣大學,政治學系政治理論組,1.25,1.25,0,1,1,1,0,0,0,0,31,457.55
23,國立臺灣大學,政治學系國際關係組,1.25,1.25,0,1,1,1,0,0,0,0,31,465.45
24,國立臺灣大學,政治學系公共行政組,1.25,1.25,0,1,1,1,0,0,0,0,32,460.7
25,國立臺灣大學,經濟學系,1.5,1.5,0,2,0,0,0,0,0,0,67,442.25
26,國立臺灣大學,社會學系,1.5,1.5,0,1.5,1,1,0,0,0,0,33,541.75
27,國立臺灣大學,社會工作學系,1.25,1.25,0,1,1,1,1,0,0,0,25,540
30,國立臺灣大學,醫學系,1,1,1,0,0,0,0,1,1,1,82,529.6
31,國立臺灣大學,牙醫學系,1,1,1,0,0,0,0,1,1,1,23,520.3
32,國立臺灣大學,藥學系,1,1,1,0,0,0,0,1,1,1,28,494.4
33,國立臺灣大學,醫學檢驗暨生物技術學系,1,1,1,0,0,0,0,1,1,1,31,481.7
34,國立臺灣大學,護理學系,1,1,1,0,0,0,0,1,1,1,33,453.9
35,國立臺灣大學,物理治療學系,1,1,1,0,0,0,0,1,1,1,19,479.2
36,國立臺灣大學,職能治療學系,1,1,1,0,0,0,0,1,1,1,25,474.1
37,國立臺灣大學,土木工程學系,1,1,1,0,0,0,0,1,1,0,20,397.1
40,國立臺灣大學,機械工程學系,1,1,1,0,0,0,0,1,1,0,25,406.3
41,國立臺灣大學,化學工程學系,1,1,1,0,0,0,0,1,1,0,36,405.8
42,國立臺灣大學,工程科學及海洋工程學系,1,1,1,0,0,0,0,1,1,0,10,402
43,國立臺灣大學,材料科學與工程學系,1,1,1,0,0,0,0,1,1,0,10,415.4
44,國立臺灣大學,農藝學系,1,1,1,0,0,0,0,1,1.25,1.25,16,501.7
45,國立臺灣大學,生物環境系統工程學系,1,1,1,0,0,0,0,1,1,0,20,390.5
46,國立臺灣大學,農業化學系,1,1,1,0,0,0,0,1,1,1,29,468.2
47,國立臺灣大學,森林環境暨資源學系,1,1,1,0,0,0,0,1.5,1.5,2,30,611.95
50,國立臺灣大學,動物科學技術學系,1,1,1,0,0,0,0,1,1,1,32,456.3
51,國立臺灣大學,農業經濟學系,1.5,2,2,0,0,0,0,1,1,1,27,640.7
52,國立臺灣大學,園藝暨景觀學系,1,1,1,0,0,0,0,1,1.5,1.5,23,535.2
53,國立臺灣大學,獸醫學系,1,1,1,0,0,0,0,1,1,1,33,491
54,國立臺灣大學,生物產業傳播暨發展學系,1.5,1.5,0,1.5,1,1,0,0,0,0,29,546.7
55,國立臺灣大學,生物產業機電工程學系,1,1,1,0,0,0,0,1,1,0,32,394.5
56,國立臺灣大學,昆蟲學系,1,1,1,0,0,0,0,1,1,1,26,446.5
57,國立臺灣大學,植物病理與微生物學系,1,1,1,0,0,0,0,1,1,1,26,463.6
60,國立臺灣大學,工商管理學系企業管理組,1,2,0,2,1,1,0,0,0,0,36,617.6
61,國立臺灣大學,工商管理學系科技管理組,1,2,2,0,0,0,0,1,1,0,27,558.9
62,國立臺灣大學,會計學系,1.25,2,0,1.25,1,1,0,0,0,0,60,560.88
63,國立臺灣大學,財務金融學系,1,1.5,0,2,0,0,0,0,0,0,59,412
64,國立臺灣大學,國際企業學系,1,2,0,2,1,1,0,0,0,0,53,625.2
65,國立臺灣大學,資訊管理學系,1,1,1,0,0,0,0,1,1,0,13,402.5
66,國立臺灣大學,公共衛生學系,1,1,1,0,0,0,0,1,1,1,25,468.6
67,國立臺灣大學,電機工程學系,1,1,1,0,0,0,0,1,1,0,49,420.1
70,國立臺灣大學,資訊工程學系,1,1,1,0,0,0,0,1,1,0,26,412.2
71,國立臺灣大學,法律學系法學組,1,1,0,1,1,0,1,0,0,0,37,436.4
