系組.代碼,校名,系組名,國文,英文,數學甲,數學乙,歷史,地理,公民與社會,物理,化學,生物,錄取人數..含外加.,普通生錄取分數
1,國立臺灣大學,中國文學系,1.5,1.25,0,1,1.25,1,0,0,0,0,26,485.23 
2,國立臺灣大學,外國語文學系,1.25,2,0,1,1,1,0,0,0,0,60,520.73 
3,國立臺灣大學,歷史學系,1,1,0,0,1,1,1,0,0,0,23,410.30 
4,國立臺灣大學,哲學系,1,1,0,1,1,0,1,0,0,0,17,411.50 
5,國立臺灣大學,人類學系,1,1.25,0,0,1,1,1,0,0,0,22,425.63 
6,國立臺灣大學,圖書資訊學系,1.25,1.25,0,1,1,0,1,0,0,0,22,451.23 
7,國立臺灣大學,日本語文學系,1.5,1.5,0,1,1,1,0,0,0,0,36,483.25 
10,國立臺灣大學,戲劇學系(男),1.5,1.5,0,1,1,1,0,0,0,0,12,472.25 
11,國立臺灣大學,戲劇學系(女),1.5,1.5,0,1,1,1,0,0,0,0,12,479.80 
12,國立臺灣大學,數學系,1,1,1.5,0,0,0,0,1,1,0,19,428.80 
13,國立臺灣大學,物理學系,1,1,1,0,0,0,0,1,1,0,11,405.70 
14,國立臺灣大學,化學系,1,1,1,0,0,0,0,1,1,0,20,393.70 
15,國立臺灣大學,地質科學系,1,1,1,0,0,0,0,1,1,0,16,372.70 
16,國立臺灣大學,心理學系,1,1,1,0,0,0,0,0,1,1,44,378.50 
17,國立臺灣大學,地理環境資源學系A組,1,1,1,0,0,0,0,1,1,0,9,371.30 
20,國立臺灣大學,地理環境資源學系B組,1,1,0,1,1,1,0,0,0,0,10,414.30 
21,國立臺灣大學,大氣科學系,1,1,1,0,0,0,0,1,1,0,21,378.20 
22,國立臺灣大學,政治學系政治理論組,1.25,1.25,0,1,1,1,0,0,0,0,33,448.65 
23,國立臺灣大學,政治學系國際關係組,1.25,1.25,0,1,1,1,0,0,0,0,31,456.38 
24,國立臺灣大學,政治學系公共行政組,1.25,1.25,0,1,1,1,0,0,0,0,31,451.48 
25,國立臺灣大學,經濟學系,1.5,1.5,0,2,0,0,0,0,0,0,57,432.25 
26,國立臺灣大學,社會學系,1.5,1.5,0,1.5,1,0,1,0,0,0,35,537.85 
27,國立臺灣大學,社會工作學系,1.25,1.25,0,1,1,0,1,0,0,0,28,448.68 
30,國立臺灣大學,醫學系(自費),0,1,1,0,0,0,0,1,1,1,71,450.60 
31,國立臺灣大學,醫學系(公費),0,1,1,0,0,0,0,1,1,1,10,435.12 
32,國立臺灣大學,牙醫學系,0,1,1,0,0,0,0,1,1,1,22,437.70 
33,國立臺灣大學,藥學系,0,1,1,0,0,0,0,1,1,1,20,420.80 
34,國立臺灣大學,醫學檢驗暨生物技術學系,1,1,1,0,0,0,0,0,1,1,24,380.00 
35,國立臺灣大學,護理學系,1,1,1,0,0,0,0,0,1,1,24,368.60 
36,國立臺灣大學,物理治療學系,0,1,1,0,0,0,0,1,1,1,16,414.80 
37,國立臺灣大學,職能治療學系,1.25,1.5,1,0,0,0,0,0,0,1,16,370.68 
40,國立臺灣大學,土木工程學系,1,1,1,0,0,0,0,1,1,0,23,386.50 
41,國立臺灣大學,機械工程學系,1,1,1,0,0,0,0,1,1,0,27,398.10 
42,國立臺灣大學,化學工程學系,1,1,1,0,0,0,0,1,1,0,29,397.80 
43,國立臺灣大學,工程科學及海洋工程學系,1,1,1,0,0,0,0,1,1,0,12,392.90 
44,國立臺灣大學,材料科學與工程學系,1,1,1,0,0,0,0,1,1,0,11,405.60 
45,國立臺灣大學,農藝學系,1,1,1,0,0,0,0,0,1.25,1.25,16,407.53 
46,國立臺灣大學,生物環境系統工程學系,1,1,1,0,0,0,0,1,1,0,20,379.30 
47,國立臺灣大學,農業化學系,0,1,1,0,0,0,0,1,1,1,25,395.80 
50,國立臺灣大學,森林環境暨資源學系,0,1,1,0,0,0,0,1.5,1.5,2,27,542.40 
51,國立臺灣大學,動物科學技術學系,0,1,1,0,0,0,0,1,1,1,23,391.70 
52,國立臺灣大學,農業經濟學系,1.5,2,2,0,0,0,0,0,0,0,24,409.45 
53,國立臺灣大學,園藝暨景觀學系,1,1,0,0,0,0,0,1,1.5,1.5,24,460.65 
54,國立臺灣大學,獸醫學系,1,1,1,0,0,0,0,0,1,1,23,393.30 
55,國立臺灣大學,生物產業傳播暨發展學系,1.5,1.5,0,1.5,1,1,0,0,0,0,27,536.90 
56,國立臺灣大學,生物產業機電工程學系,1,1,1,0,0,0,0,1,1,0,22,385.90 
57,國立臺灣大學,昆蟲學系,0,1,1,0,0,0,0,1,1,1,25,375.40 
