組別,分數區間均數,人數,百分比,累計人數,累計百分比
1,298.5,0,0,0,0
1,295.5,0,0,0,0
1,292.5,0,0,0,0
1,289.5,0,0,0,0
1,286.5,0,0,0,0
1,283.5,0,0,0,0
1,280.5,2,0.01,2,0.01
1,277.5,10,0.04,12,0.05
1,274.5,8,0.03,20,0.08
1,271.5,19,0.08,39,0.16
1,268.5,22,0.09,61,0.26
1,265.5,44,0.19,105,0.44
1,262.5,56,0.24,161,0.68
1,259.5,63,0.27,224,0.94
1,256.5,93,0.39,317,1.34
1,253.5,127,0.54,444,1.87
1,250.5,132,0.56,576,2.43
1,247.5,159,0.67,735,3.1
1,244.5,180,0.76,915,3.86
1,241.5,243,1.02,1158,4.88
1,238.5,228,0.96,1386,5.84
1,235.5,264,1.11,1650,6.96
1,232.5,300,1.26,1950,8.22
1,229.5,288,1.21,2238,9.44
1,226.5,323,1.36,2561,10.8
1,223.5,340,1.43,2901,12.23
1,220.5,364,1.53,3265,13.77
1,217.5,367,1.55,3632,15.31
1,214.5,344,1.45,3976,16.76
1,211.5,386,1.63,4362,18.39
1,208.5,392,1.65,4754,20.04
1,205.5,405,1.71,5159,21.75
1,202.5,431,1.82,5590,23.57
1,199.5,425,1.79,6015,25.36
1,196.5,395,1.67,6410,27.02
1,193.5,405,1.71,6815,28.73
1,190.5,484,2.04,7299,30.77
1,187.5,446,1.88,7745,32.65
1,184.5,479,2.02,8224,34.67
1,181.5,413,1.74,8637,36.41
1,178.5,452,1.91,9089,38.32
1,175.5,448,1.89,9537,40.21
1,172.5,472,1.99,10009,42.2
1,169.5,437,1.84,10446,44.04
1,166.5,439,1.85,10885,45.89
1,163.5,445,1.88,11330,47.77
1,160.5,457,1.93,11787,49.69
1,157.5,450,1.9,12237,51.59
1,154.5,421,1.77,12658,53.37
1,151.5,454,1.91,13112,55.28
1,148.5,457,1.93,13569,57.21
1,145.5,464,1.96,14033,59.16
1,142.5,517,2.18,14550,61.34
1,139.5,459,1.94,15009,63.28
1,136.5,444,1.87,15453,65.15
1,133.5,441,1.86,15894,67.01
1,130.5,420,1.77,16314,68.78
1,127.5,451,1.9,16765,70.68
1,124.5,436,1.84,17201,72.52
1,121.5,418,1.76,17619,74.28
1,118.5,415,1.75,18034,76.03
1,115.5,398,1.68,18432,77.71
1,112.5,382,1.61,18814,79.32
1,109.5,310,1.31,19124,80.63
1,106.5,344,1.45,19468,82.08
1,103.5,328,1.38,19796,83.46
1,100.5,324,1.37,20120,84.83
1,97.5,259,1.09,20379,85.92
1,94.5,267,1.13,20646,87.04
1,91.5,207,0.87,20853,87.92
1,88.5,231,0.97,21084,88.89
1,85.5,218,0.92,21302,89.81
1,82.5,182,0.77,21484,90.58
1,79.5,168,0.71,21652,91.29
1,76.5,147,0.62,21799,91.91
1,73.5,133,0.56,21932,92.47
1,70.5,122,0.51,22054,92.98
1,67.5,112,0.47,22166,93.45
1,64.5,105,0.44,22271,93.9
1,61.5,93,0.39,22364,94.29
1,58.5,64,0.27,22428,94.56
1,55.5,72,0.3,22500,94.86
1,52.5,52,0.22,22552,95.08
1,49.5,33,0.14,22585,95.22
1,46.5,33,0.14,22618,95.36
1,43.5,22,0.09,22640,95.45
1,40.5,16,0.07,22656,95.52
1,37.5,17,0.07,22673,95.59
1,34.5,9,0.04,22682,95.63
1,31.5,6,0.03,22688,95.65
1,28.5,9,0.04,22697,95.69
1,25.5,9,0.04,22706,95.73
1,22.5,13,0.05,22719,95.78
1,19.5,10,0.04,22729,95.83
1,16.5,15,0.06,22744,95.89
1,13.5,11,0.05,22755,95.94
1,10.5,5,0.02,22760,95.96
1,7.5,15,0.06,22775,96.02
1,4.5,8,0.03,22783,96.05
1,1.5,936,3.95,23719,100
2,298.5,0,0,0,0
2,295.5,0,0,0,0
2,292.5,0,0,0,0
2,289.5,1,0,1,0
2,286.5,3,0.01,4,0.02
