"校系
代碼",校名,系組名,國文,英文,數學甲,數學乙,歷史,地理,公民與社會,物理,化學,生物,術科,"錄取名額
(含外加)","普通生
錄取分數"
0001,國立臺灣大學,中國文學系,1.5,1.25,0,1,1.25,1,0,0,0,0,0,32,493.40
0002,國立臺灣大學,外國語文學系,1.25,2,0,1,1.25,1,1,0,0,0,0,62,641.90
0003,國立臺灣大學,歷史學系,1,1,0,1,1,1,1,0,0,0,0,23,503.00
0004,國立臺灣大學,哲學系,1,1,0,1,1,0,1,0,0,0,0,17,423.00
0005,國立臺灣大學,人類學系,1,1.25,0,1,1,1,1,0,0,0,0,23,520.45
0006,國立臺灣大學,圖書資訊學系,1.25,1.25,0,1,1,1,1,0,0,0,0,23,544.00
0007,國立臺灣大學,日本語文學系,1.5,1.5,0,1,1,1,0,0,0,0,0,34,496.45
0010,國立臺灣大學,戲劇學系(男),1.5,1.5,0,1,1,1,0,0,0,0,0,10,487.60
0011,國立臺灣大學,戲劇學系(女),1.5,1.5,0,1,1,1,0,0,0,0,0,14,490.95
0012,國立臺灣大學,數學系,1,1,1.5,0,0,0,0,1,1,0,0,23,432.50
0013,國立臺灣大學,物理學系,1,1,1,0,0,0,0,1,1,0,0,20,412.60
0014,國立臺灣大學,化學系,1,1,1,0,0,0,0,1,1,0,0,19,404.10
0015,國立臺灣大學,地質科學系,1,1,1,0,0,0,0,1,1,0,0,15,385.20
0016,國立臺灣大學,心理學系,1,1,1,0,0,0,0,1,1,1,0,42,469.70
0017,國立臺灣大學,地理環境資源學系A組,1,1,1,0,0,0,0,1,1,0,0,13,383.10
0020,國立臺灣大學,地理環境資源學系B組,1,1,0,1,1,1,0,0,0,0,0,9,419.40
0021,國立臺灣大學,大氣科學系,1,1,1,0,0,0,0,1,1,0,0,20,389.60
0022,國立臺灣大學,政治學系政治理論組,1.25,1.25,0,1,1,1,0,0,0,0,0,31,457.55
0023,國立臺灣大學,政治學系國際關係組,1.25,1.25,0,1,1,1,0,0,0,0,0,31,465.45
0024,國立臺灣大學,政治學系公共行政組,1.25,1.25,0,1,1,1,0,0,0,0,0,32,460.70
0025,國立臺灣大學,經濟學系,1.5,1.5,0,2,0,0,0,0,0,0,0,67,442.25
0026,國立臺灣大學,社會學系,1.5,1.5,0,1.5,1,1,0,0,0,0,0,33,541.75
0027,國立臺灣大學,社會工作學系,1.25,1.25,0,1,1,1,1,0,0,0,0,25,540.00
0030,國立臺灣大學,醫學系,1,1,1,0,0,0,0,1,1,1,0,82,529.60
0031,國立臺灣大學,牙醫學系,1,1,1,0,0,0,0,1,1,1,0,23,520.30
0032,國立臺灣大學,藥學系,1,1,1,0,0,0,0,1,1,1,0,28,494.40
0033,國立臺灣大學,醫學檢驗暨生物技術學系,1,1,1,0,0,0,0,1,1,1,0,31,481.70
0034,國立臺灣大學,護理學系,1,1,1,0,0,0,0,1,1,1,0,33,453.90
0035,國立臺灣大學,物理治療學系,1,1,1,0,0,0,0,1,1,1,0,19,479.20
0036,國立臺灣大學,職能治療學系,1,1,1,0,0,0,0,1,1,1,0,25,474.10
0037,國立臺灣大學,土木工程學系,1,1,1,0,0,0,0,1,1,0,0,20,397.10
0040,國立臺灣大學,機械工程學系,1,1,1,0,0,0,0,1,1,0,0,25,406.30
0041,國立臺灣大學,化學工程學系,1,1,1,0,0,0,0,1,1,0,0,36,405.80
0042,國立臺灣大學,工程科學及海洋工程學系,1,1,1,0,0,0,0,1,1,0,0,10,402.00
0043,國立臺灣大學,材料科學與工程學系,1,1,1,0,0,0,0,1,1,0,0,10,415.40
0044,國立臺灣大學,農藝學系,1,1,1,0,0,0,0,1,1.25,1.25,0,16,501.70
