"校系
代碼",校名,系組名,國文,英文,數學甲,數學乙,歷史,地理,公民與社會,物理,化學,生物,術科,"錄取人數
(含外加)","普通生
錄取分數"
1,國立臺灣大學,中國文學系,1.5,1.25,0,1,1.25,1,0,0,0,0,0,34,470.03
2,國立臺灣大學,外國語文學系,1.25,2,0,1,1,1,0,0,0,0,0,71,504.45
3,國立臺灣大學,歷史學系,1,1,0,0,1,1,1,0,0,0,0,22,392.8
4,國立臺灣大學,哲學系,1,1,0,1,1,0,1,0,0,0,0,17,398.3
5,國立臺灣大學,人類學系,1,1.25,0,0,1,1,1,0,0,0,0,27,407.35
6,國立臺灣大學,圖書資訊學系,1.25,1.25,0,1,1,0,1,0,0,0,0,25,439.35
7,國立臺灣大學,日本語文學系,1.5,1.5,0,1,1,1,0,0,0,0,0,36,472.75
10,國立臺灣大學,戲劇學系(男),1.5,1.5,0,1,1,1,0,0,0,0,0,10,464.3
11,國立臺灣大學,戲劇學系(女),1.5,1.5,0,1,1,1,0,0,0,0,0,12,470.1
12,國立臺灣大學,數學系,1,1,1.5,0,0,0,0,1,1,0,0,19,434.5
13,國立臺灣大學,物理學系,1,1,1,0,0,0,0,1,1,0,0,20,408.1
14,國立臺灣大學,化學系,1,1,1,0,0,0,0,1,1,0,0,18,405
15,國立臺灣大學,地質科學系,1,1,1,0,0,0,0,1,1,0,0,16,380.3
16,國立臺灣大學,心理學系,1,1,1,0,0,0,0,0,1,1,0,46,387.9
17,國立臺灣大學,地理環境資源學系A組,1,1,1,0,0,0,0,1,1,0,0,9,377.9
20,國立臺灣大學,地理環境資源學系B組,1,1,0,1,1,1,0,0,0,0,0,8,397.8
21,國立臺灣大學,大氣科學系,1,1,1,0,0,0,0,1,1,0,0,17,384.3
22,國立臺灣大學,政治學系政治理論組,1.25,1.25,0,1,1,1,0,0,0,0,0,31,435.45
23,國立臺灣大學,政治學系國際關係組,1.25,1.25,0,1,1,1,0,0,0,0,0,33,445.53
24,國立臺灣大學,政治學系公共行政組,1.25,1.25,0,1,1,1,0,0,0,0,0,33,440.1
25,國立臺灣大學,經濟學系,1.5,1.5,0,2,0,0,0,0,0,0,0,57,428.95
26,國立臺灣大學,社會學系,1.5,1.5,0,1.5,1,0,1,0,0,0,0,31,524.25
27,國立臺灣大學,社會工作學系,1.25,1.25,0,1,1,0,1,0,0,0,0,30,434.8
30,國立臺灣大學,醫學系(自費),0,1,1,0,0,0,0,1,1,1,0,72,457.2
31,國立臺灣大學,醫學系(公費),0,1,1,0,0,0,0,1,1,1,0,18,433.6
32,國立臺灣大學,牙醫學系,0,1,1,0,0,0,0,1,1,1,0,23,447.1
33,國立臺灣大學,藥學系,0,1,1,0,0,0,0,1,1,1,0,18,429
34,國立臺灣大學,醫學檢驗暨生物技術學系,1,1,1,0,0,0,0,0,1,1,0,22,394
35,國立臺灣大學,護理學系,1,1,1,0,0,0,0,0,1,1,0,29,374.9
36,國立臺灣大學,物理治療學系,0,1,1,0,0,0,0,1,1,1,0,16,418.7
37,國立臺灣大學,職能治療學系,1.25,1.5,1,0,0,0,0,0,0,1,0,22,376.05
40,國立臺灣大學,土木工程學系,1,1,1,0,0,0,0,1,1,0,0,25,396.8
41,國立臺灣大學,機械工程學系,1,1,1,0,0,0,0,1,1,0,0,33,406.3
42,國立臺灣大學,化學工程學系,1,1,1,0,0,0,0,1,1,0,0,29,407.1
43,國立臺灣大學,工程科學及海洋工程學系,1,1,1,0,0,0,0,1,1,0,0,10,400.4
44,國立臺灣大學,材料科學與工程學系,1,1,1,0,0,0,0,1,1,0,0,13,414.4
45,國立臺灣大學,農藝學系,1,1,1,0,0,0,0,0,1.25,1.25,0,18,419.03
46,國立臺灣大學,生物環境系統工程學系,1,1,1,0,0,0,0,1,1,0,0,21,384.6
47,國立臺灣大學,農業化學系,1,0,1,0,0,0,0,1,1,1,0,27,388.1
50,國立臺灣大學,森林環境暨資源學系,0,1,1,0,0,0,0,1.5,1.5,2,0,35,542.1
51,國立臺灣大學,動物科學技術學系,0,1,1,0,0,0,0,1,1,1,0,28,393.3
52,國立臺灣大學,農業經濟學系,1.5,2,2,0,0,0,0,0,0,1,0,24,489.3
53,國立臺灣大學,園藝暨景觀學系,1,1,0,0,0,0,0,1,1.5,1.5,0,25,464.7
54,國立臺灣大學,獸醫學系,1,1,1,0,0,0,0,0,1,1,0,29,403.3
55,國立臺灣大學,生物產業傳播暨發展學系,1.5,1.5,0,1.5,1,1,0,0,0,0,0,30,523.05
56,國立臺灣大學,生物產業機電工程學系,1,1,1,0,0,0,0,1,1,0,0,22,393.4
57,國立臺灣大學,昆蟲學系,0,1,1,0,0,0,0,1,1,1,0,26,378.3
60,國立臺灣大學,植物病理與微生物學系,1,1,1,0,0,0,0,0,1,1,0,26,378.6
61,國立臺灣大學,工商管理學系企業管理組,1,2,0,2,1,1,0,0,0,0,0,33,588.5
62,國立臺灣大學,工商管理學系科技管理組,1,2,2,0,0,0,0,1,1,0,0,20,557.8
63,國立臺灣大學,會計學系,1.25,2,0,1.25,1,1,0,0,0,0,0,74,531.75
64,國立臺灣大學,財務金融學系,1,1.5,0,2,0,0,0,0,0,0,0,68,398.1
65,國立臺灣大學,國際企業學系,1,2,0,2,1,1,0,0,0,0,0,55,593
66,國立臺灣大學,資訊管理學系,1,1,1,0,0,0,0,1,1,0,0,21,401.5
67,國立臺灣大學,公共衛生學系,1,1,1,0,0,0,0,0,1,1,0,17,387.3
70,國立臺灣大學,電機工程學系,1,1,1,0,0,0,0,1,1,0,0,47,419.5
71,國立臺灣大學,資訊工程學系,1,1,1,0,0,0,0,1,1,0,0,27,415.7
72,國立臺灣大學,法律學系法學組,1,1,0,1,1,0,1.25,0,0,0,0,31,439.4
73,國立臺灣大學,法律學系司法組,1,1,0,1,1,0,1.25,0,0,0,0,34,442.4
74,國立臺灣大學,法律學系財經法學組,1,1,0,1,1,0,1.25,0,0,0,0,35,445.6
75,國立臺灣大學,生命科學系,0,1,1,0,0,0,0,1,1,1,0,44,397.1
76,國立臺灣大學,生化科技學系,0,1,1,0,0,0,0,1,1,1,0,31,416.1
77,國立臺灣師範大學,教育學系,1.5,1.5,0,1,1,1,0,0,0,0,0,27,435.95
100,國立臺灣師範大學,教育心理與輔導學系,1,1.25,0,1.25,1,0,1,0,0,0,0,14,429.15
101,國立臺灣師範大學,社會教育學系,1.5,1.5,0,1.5,1,1,0,0,0,0,0,27,473.05
102,國立臺灣師範大學,健康促進與衛生教育學系,1,2,1,0,0,0,0,0,0,2,0,14,408.4
103,國立臺灣師範大學,人類發展與家庭學系家庭生活教育組,2,2,0,1.75,0,0,0,0,0,0,0,12,427.1
104,國立臺灣師範大學,人類發展與家庭學系幼兒發展與教育組,1.75,2,0,1.75,0,0,0,0,0,0,0,7,410.33
105,國立臺灣師範大學,人類發展與家庭學系營養科學與教育組,1,1.5,1,0,0,0,0,0,1.5,1.5,0,14,434.25
106,國立臺灣師範大學,公民教育與活動領導學系,1.25,1.25,0,1,0,0,2,0,0,0,0,50,398.93
107,國立臺灣師範大學,特殊教育學系,1.25,1.25,0,1,1,0,1,0,0,0,0,19,397.83
110,國立臺灣師範大學,國文學系(自費),2,1.5,0,0,1,1,0,0,0,0,0,43,399.8
111,國立臺灣師範大學,國文學系(公費)-新竹市,2,1.5,0,0,1,1,0,0,0,0,0,1,458.65
112,國立臺灣師範大學,英語學系(自費),1.5,2,0,1,0,0,0,0,0,0,0,34,349.05
113,國立臺灣師範大學,英語學系(公費)-桃園市,1.5,2,0,1,0,0,0,0,0,0,0,1,393
114,國立臺灣師範大學,歷史學系,1.25,1.25,0,1,1.5,1,0,0,0,0,0,24,441.98
115,國立臺灣師範大學,地理學系,1,1.25,0,1,1,1.5,0,0,0,0,0,31,421.9
116,國立臺灣師範大學,臺灣語文學系,2,1.75,0,0,1.5,1,1,0,0,0,0,6,522.68
117,國立臺灣師範大學,數學系,1,1,2,0,0,0,0,1.5,1,0,0,46,414.2
120,國立臺灣師範大學,物理學系,1,1,1,0,0,0,0,1,1,0,0,19,338.8
121,國立臺灣師範大學,化學系,1,1.25,1,0,0,0,0,1.5,1.75,0,0,32,448.75
122,國立臺灣師範大學,生命科學系,1,1.25,1,0,0,0,0,0,1.25,1.5,0,37,417.43
123,國立臺灣師範大學,地球科學系,0,1,2,0,0,0,0,2,1.5,0,0,27,418.35
124,國立臺灣師範大學,資訊工程學系,1,1,1,0,0,0,0,1,1,0,0,13,344.7
125,國立臺灣師範大學,美術學系國畫組(自費),1,1,0,0,1,0,0,0,0,0,2,6,342.9
126,國立臺灣師範大學,美術學系國畫組(公費)-桃園市,1,1,0,0,1,0,0,0,0,0,2,1,353.6
127,國立臺灣師範大學,美術學系西畫組(自費),1,1,0,0,1,0,0,0,0,0,2,6,347.84
130,國立臺灣師範大學,美術學系西畫組(公費)-桃園市,1,1,0,0,1,0,0,0,0,0,2,1,373.02
131,國立臺灣師範大學,設計學系平面與媒體設計組,1.25,1.25,0,0,1,0,0,0,0,0,2,9,385.33
132,國立臺灣師範大學,設計學系產品與室內設計組,1,1.5,1.5,0,0,0,0,1.5,0,0,0,14,368.05
133,國立臺灣師範大學,工業教育學系能源應用組,1,1.5,1.5,0,0,0,0,0,0,0,0,1,276.8
134,國立臺灣師範大學,科技應用與人力資源發展學系,1,1.25,1.25,0,0,0,0,1,1,0,0,31,338.95
135,國立臺灣師範大學,圖文傳播學系,1.25,1.25,1,0,0,0,0,1,1,0,0,12,352.85
136,國立臺灣師範大學,機電工程學系,1,1.5,2,0,0,0,0,2,1,0,0,18,507.5
137,國立臺灣師範大學,電機工程學系,1,1.5,1.5,0,0,0,0,1.5,1,0,0,23,446.1
140,國立臺灣師範大學,體育學系,2,1,1,0,0,0,0,0,0,2,2,11,456.72
141,國立臺灣師範大學,應用華語文學系,2,2,0,0,1,1,0,0,0,0,0,17,440
142,國立臺灣師範大學,東亞學系政治與經濟組,2,2,0,1.5,0,0,1,0,0,0,0,10,484.2
143,國立臺灣師範大學,東亞學系漢學與文化組,2,2,0,0,1.5,1,0,0,0,0,0,9,481.4
144,國立臺灣師範大學,企業管理學系,1.5,2,0,2,0,0,0,0,0,0,0,21,433.5
145,國立臺灣師範大學,表演藝術學士學位學程,1.75,1.25,0,0,0,0,0,0,0,0,1.5,10,246.22
146,國立中興大學,中國文學系,2,1.5,0,0,1.25,0,0,0,0,0,0,21,340.1
147,國立中興大學,外國語文學系,1,2,0,1,1,1,0,0,0,0,0,31,437
150,國立中興大學,歷史學系,1,1,0,1,1.5,1,0,0,0,0,0,27,393.45
151,國立中興大學,財務金融學系,1,2,0,2,0,0,0,0,0,0,0,33,392.2
152,國立中興大學,企業管理學系,1,2,0,2,0,0,0,0,0,0,0,21,386.2
153,國立中興大學,法律學系,1.5,1.5,0,1,1,0,1,0,0,0,0,24,445
154,國立中興大學,行銷學系,1,2,0,2,0,0,0,0,0,0,0,18,385.2
155,國立中興大學,資訊管理學系,1,2,2,0,0,0,0,0,0,0,0,14,336.4
156,國立中興大學,會計學系,1,1.5,0,1.5,0,0,0,0,0,0,0,11,311.05
157,國立中興大學,應用經濟學系,1,2,1.5,0,0,0,0,0,0,0,0,12,300.2
160,國立中興大學,化學系,1,1.5,2,0,0,0,0,1,2,0,0,15,501.5
161,國立中興大學,物理學系一般物理組,1,1.5,1.5,0,0,0,0,1.5,1,0,0,8,420.85
162,國立中興大學,物理學系光電物理組,1,1.5,1.5,0,0,0,0,1.5,1,0,0,7,429.45
163,國立中興大學,應用數學系,1,1.5,2,0,0,0,0,1.5,1,0,0,59,425.35
164,國立中興大學,資訊科學與工程學系,1,1,1.5,0,0,0,0,1,1,0,0,18,374.3
165,國立中興大學,機械工程學系,1,1.5,2,0,0,0,0,2,1,0,0,32,489.3
166,國立中興大學,土木工程學系,1,1.5,2,0,0,0,0,2,1,0,0,64,468.55
167,國立中興大學,環境工程學系,1,1,1.5,0,0,0,0,1.5,1.5,0,0,12,422.8
170,國立中興大學,電機工程學系,1,1,1,0,0,0,0,1,1,0,0,42,339.1
171,國立中興大學,化學工程學系,1,1,1,0,0,0,0,1,1,0,0,28,330.9
172,國立中興大學,材料科學與工程學系,1,1,1,0,0,0,0,1,1,0,0,29,332.1
173,國立中興大學,水土保持學系,1,1.5,2,0,0,0,0,2,1,0,0,32,455.05
174,國立中興大學,生物產業機電工程學系,1,1,1,0,0,0,0,1,1,0,0,34,315
175,國立中興大學,農藝學系,1,1.5,1,0,0,0,0,0,1.5,1.5,0,24,416.05
176,國立中興大學,園藝學系,1,1.5,1,0,0,0,0,0,1.5,2,0,23,454.9
177,國立中興大學,森林學系林學組,0,1.5,1,0,0,0,0,1,1,1.5,0,19,367.45
200,國立中興大學,森林學系木材科學組,0,1.5,1,0,0,0,0,1.25,1.5,1,0,19,363.6
201,國立中興大學,植物病理學系,1,1.5,1,0,0,0,0,0,1.5,1.5,0,23,423.65
202,國立中興大學,昆蟲學系,1,1.5,1,0,0,0,0,0,1.5,1.5,0,26,400.5
203,國立中興大學,動物科學系,1,1.5,1,0,0,0,0,0,1.5,1.5,0,22,449.25
