"系組
代碼",校名,系組名,國文,英文,數學甲,數學乙,歷史,地理,公民與社會,物理,化學,生物,術科,"錄取人數
(含外加)","普通生
錄取分數"
0001,國立臺灣大學            ,中國文學系,1.5,1.25,0,1,1.25,1,0,0,0,0,0,27,492.81
0002,國立臺灣大學            ,外國語文學系,1.25,2,0,1,1,1,0,0,0,0,0,54,524.10
0003,國立臺灣大學            ,歷史學系,1,1,0,0,1,1,1,0,0,0,0,21,424.45
0004,國立臺灣大學            ,哲學系,1,1,0,1,1,0,1,0,0,0,0,20,411.50
0005,國立臺灣大學            ,人類學系,1,1.5,0,0,1,1,1,0,0,0,0,22,460.05
0006,國立臺灣大學            ,圖書資訊學系,1.25,1.25,0,1,1,0,1,0,0,0,0,20,457.05
0007,國立臺灣大學            ,日本語文學系,1.5,1.5,0,1,1,1,0,0,0,0,0,29,495.80
0010,國立臺灣大學            ,戲劇學系(男),1.5,1.5,0,1,1,1,0,0,0,0,0,11,486.25
0011,國立臺灣大學            ,戲劇學系(女),1.5,1.5,0,1,1,1,0,0,0,0,0,10,490.20
0012,國立臺灣大學            ,數學系,0,1,1.5,0,0,0,0,1,1,0,0,16,362.10
0013,國立臺灣大學            ,物理學系,1,1,1,0,0,0,0,1,1,0,0,13,414.50
0014,國立臺灣大學            ,化學系,1,1,1,0,0,0,0,1,1,0,0,18,405.50
0015,國立臺灣大學            ,地質科學系,1,1,1,0,0,0,0,1,1,0,0,15,388.60
0016,國立臺灣大學            ,心理學系,1,1,1,0,0,0,0,0,1,1,0,44,402.45
0017,國立臺灣大學            ,地理環境資源學系A組,1,1,1,0,0,0,0,1,1,0,0,12,384.25
0020,國立臺灣大學            ,地理環境資源學系B組,1,1,0,1,1,1,0,0,0,0,0,7,421.45
0021,國立臺灣大學            ,大氣科學系,1,1,1,0,0,0,0,1,1,0,0,18,390.80
0022,國立臺灣大學            ,政治學系政治理論組,1.25,1.25,0,1,1,1,0,0,0,0,0,31,457.75
0023,國立臺灣大學            ,政治學系國際關係組,1.25,1.25,0,1,1,1,0,0,0,0,0,34,466.74
0024,國立臺灣大學            ,政治學系公共行政組,1.25,1.25,0,1,1,1,0,0,0,0,0,32,460.61
0025,國立臺灣大學            ,經濟學系,1,1.5,0,2,0,0,0,0,0,0,0,56,408.78
0026,國立臺灣大學            ,社會學系,1,1,0,1,1,0,1,0,0,0,0,26,422.05
0027,國立臺灣大學            ,社會工作學系,1.25,1.25,0,1,1,0,1,0,0,0,0,20,453.83
